,_id,dateTime,bDateTime,tDateTime,lat,long,dirpwsfcs,dirswsfcs,htsgwsfcs,perpwsfcs,perswsfcs,vgrdsfcs,ugrdsfcs,wdirsfcs,windsfcs,wvdirsfcs,wvpersfcs,createDate
0,5b99f8478fc350998c28d3a5,2.02E+13,2.02E+13,2.02E+13,34.55,127.6,101.47,,2.22,9.48,,-3.64,-2.82,52.22,4.6,99.33,8.19,20180913
1,5b99f8478fc350998c28d3a6,2.02E+13,2.02E+13,2.02E+13,34.65,128.3,101.64,,2.27,9.4,,-4.28,-2.4,60.77,4.91,99.47,8.09,20180913
2,5b99f8478fc350998c28d3a7,2.02E+13,2.02E+13,2.02E+13,34.75,128.31,103.13,,2.26,9.27,,-4.39,-1.99,65.59,4.82,100.79,7.98,20180913
3,5b99f8478fc350998c28d3a8,2.02E+13,2.02E+13,2.02E+13,34.9,128.36,104.42,52.9,2.24,9.12,7.13,-4.48,-1.44,72.2,4.71,102.69,7.87,20180913
4,5b99f8478fc350998c28d3a9,2.02E+13,2.02E+13,2.02E+13,34.43,128.54,105.52,50.35,2.23,8.95,7.2,-5.04,-1.36,74.94,5.22,103.79,7.7,20180913
5,5b99f8478fc350998c28d3aa,2.02E+13,2.02E+13,2.02E+13,34.95,128.67,106.77,68.72,2.21,8.76,7.81,-5.69,-1.57,74.54,5.9,104.34,7.51,20180913
6,5b99f8478fc350998c28d3ab,2.02E+13,2.02E+13,2.02E+13,35.01,128.76,109.81,64.32,2.11,8.52,6.8,-5.67,-1.86,71.86,5.97,106.27,7.29,20180913
7,5b99f8478fc350998c28d3ac,2.02E+13,2.02E+13,2.02E+13,35.12,128.88,109,59.21,2.12,8.29,6.5,-6.57,-2.65,68,7.08,104.4,7.06,20180913
8,5b99f8478fc350998c28d3ad,2.02E+13,2.02E+13,2.02E+13,35.33,128.54,113.76,58.97,1.9,8.01,6.2,-6.47,-3.16,63.98,7.2,105.63,6.72,20180913
9,5b99f8478fc350998c28d3ae,2.02E+13,2.02E+13,2.02E+13,35.23,128.12,115.89,49.55,1.76,7.87,5.82,-6.82,-3.88,60.33,7.85,104.65,6.47,20180913
